"HPC Resource / Facility,""Country"",""City"",""Approx. Lat"",""Approx. Lon"",""CPU Cores"",""RAM (GB)"",""Max RAM per Node (GB)"",""Storage (TB)"",""GPUs"",""Job Scheduler"",""Accessibility / Access Type"",""Source(s)"""
"Toubkal Supercomputer (ASCC),""Morocco"",""Ben Guerir"",""32.2"",""-7.9"",""69,000+"",""Not specified"",""Not specified"",""8,000+"",""Not specified"",""Not specified"",""Research support (climate, physics, AI, genomics, agriculture)"","""""
"Lengau Cluster (CHPC),""South Africa"",""Cape Town"",""-33.9"",""18.4"",""32,832"",""Not specified"",""1,024"",""5,000"",""30 Nvidia V100"",""PBSPro"",""Project-based; Open to CHPC users, SADC, SKA partner & other African countries"","""""
"BA-HPC-C2 (Bibliotheca Alexandrina),""Egypt"",""Alexandria"",""31.2"",""29.9"",""Not specified"",""Not specified"",""Not specified"",""Not specified"",""Not specified"",""Not specified"",""Researchers at Egypt's universities & institutes"","""""
"Ilifu (UCT/UWC/Stellenbosch/SARAO),""South Africa"",""Cape Town"",""-33.9"",""18.4"",""1,856"",""Avg 7.5/core"",""512"",""1,200"",""Not specified"",""Slurm"",""Limited access for H3A Projects & researchers"","""""
"UCT HPC,""South Africa"",""Cape Town"",""-33.9"",""18.4"",""960"",""Avg 9.4/core"",""375"",""345"",""NVIDIA A100"",""Slurm"",""UCT collaborators; UCT PI approval; Institutional credentials"","""""
"Stellenbosch HPC1 (Rhasatsha),""South Africa"",""Stellenbosch"",""-33.9"",""18.9"",""1,272"",""Not specified"",""512"",""1,000+"",""Not specified"",""PBS/Torque"",""All registered campus users (free 1000 CPU hours & 10GB); Paid users get unlimited CPU & 1TB"","""""
"Stellenbosch CAF-HPC1,""South Africa"",""Stellenbosch"",""-33.9"",""18.9"",""448"",""Not specified"",""1,024"",""Not specified"",""Not specified"",""PBS/Torque"",""Registered users only"","""""
"ZA-Wits-Core (Wits University),""South Africa"",""Johannesburg"",""-26.2"",""28.0"",""1,348"",""Avg 6.7/core"",""1,024"",""1,300"",""Not specified"",""Slurm"",""Limited access for H3A Projects & researchers"","""""
"CBIO Cluster (UCT/H3ABioNet),""South Africa"",""Cape Town"",""-33.9"",""18.4"",""336"",""8/core"",""1,024"",""300"",""Not specified"",""PBS/Torque"",""Limited access"","""""
"RUBi (Rhodes University),""South Africa"",""Grahamstown"",""-33.3"",""26.5"",""256"",""6.5/core"",""512"",""23"",""Not specified"",""PBS/Torque"",""H3A projects, researchers & collaborators"","""""
"PaNIP-TDAQ Cluster (UJ),""South Africa"",""Johannesburg"",""-26.2"",""28.0"",""~800"",""Not specified"",""Not specified"",""12"",""Not specified"",""Not specified"",""Institutional (University of Johannesburg)"","""""
"UWC Research Cloud (UWCRC),""South Africa"",""Cape Town"",""-33.9"",""18.6"",""464"",""896 total"",""Not specified"",""280"",""Not specified"",""Not specified"",""Institutional (UWC)"","""""
"""ACE HPC Center (Uganda)"",""Uganda"",""Kampala"",""0.3"",""32.6"",""Not specified"",""Not specified"",""Not specified"",""Not specified"",""Not specified"",""Not specified"",""Regional bioinformatics resource for East Africa; Institutional (ACE)"","""""
"""ILRI HPC/Bioinformatics Platform"",""Kenya"",""Nairobi (ILRI Campus)"",""-1.3"",""36.8"",""128+"",""Not specified"",""Not specified"",""200+"",""Not specified"",""Not specified"",""Project-based; ILRI researchers and collaborating institutions"","""""
"""Hpc01 (Icipe)"",""Kenya"",""Nairobi (Kasarani)"",""-1.2"",""36.9"",""64"",""7.8/core"",""512"",""252"",""Not specified"",""Slurm"",""Formal project application"","""""
"""Virtual Lab - KENET"",""Kenya"",""Nairobi & USIU"",""-1.3"",""36.8"",""176"",""3/core"",""384"",""75"",""Not specified"",""Not specified"",""KENET Member Institutions (Universities, Research institutions & affiliates)"","""""
"""PUBReC (Pwani University)"",""Kenya"",""Kilifi"",""-3.6"",""39.8"",""16"",""2/core"",""16"",""14"",""Not specified"",""Slurm"",""Collaboration with Institution"","""""
"""Discovery (KNUST)"",""Ghana"",""Kumasi"",""6.7"",""-1.6"",""288"",""2.0 - 3.2/core"",""32 - 64"",""50"",""Not specified"",""SGE"",""Requires approval"","""""
"""UVRI Bioinformatics Cluster"",""Uganda"",""Entebbe"",""0.0"",""32.4"",""32"",""4/core"",""128"",""5"",""Not specified"",""Slurm"",""Requires requisition & PI approval"","""""
"""IPT (Institute Pasteur of Tunis)"",""Tunisia"",""Tunis"",""36.8"",""10.2"",""72"",""72 - 512/core"",""1,024"",""22"",""Not specified"",""None"",""Project members & collaborators"","""""
"""CUBRe (Covenant University)"",""Nigeria"",""Ota"",""6.7"",""3.2"",""64"",""8/core"",""512"",""96"",""Not specified"",""None"",""Formal project application & collaboration"","""""
"""NABDA-CGRI"",""Nigeria"",""Abuja"",""9.1"",""7.2"",""8"",""24/core"",""192"",""4.4"",""Not specified"",""None"",""H3A projects, researchers & collaborators"","""""
"""ACE HPC Center (Mali)"",""Mali"",""Bamako"",""12.6"",""-8.0"",""Not specified"",""Not specified"",""Not specified"",""Not specified"",""Not specified"",""Not specified"",""Institutional (ACE); First ACE center in Africa (2015)"","""""
"""Pathogens Biology (MLW)"",""Malawi"",""Blantyre"",""-15.8"",""35.0"",""56"",""4 - 12/core"",""360"",""55"",""Not specified"",""None"",""Collaborators only"","""""
"""ECBAG - EGYPT (Zagazig University)"",""Egypt"",""Zagazig"",""30.6"",""31.5"",""24"",""2.5/core"",""60"",""12"",""Not specified"",""None"",""Collaborators only"","""""
"""Rwanda HPC Centre"",""Rwanda"",""Kigali"",""-1.9"",""30.1"",""Not specified"",""Not specified"",""Not specified"",""Not specified"",""Not specified"",""Not specified"",""Research support"","""""
"""PARAM Supercomputer (NUST)"",""Namibia"",""Windhoek"",""-22.6"",""17.1"",""5,320"",""480 total"",""Not specified"",""154"",""1 Nvidia Tesla V100"",""Not specified"",""Institutional"","""""
